ID,Start time,Completion time,Email,Name,What advantages/opportunities would you expect from a merger between SoCS and SoE?,In what areas could you see any potential issues/problems/concerns arising from such a merger of schools?,Do you feel there are aspects of the schools that may improve because of the merger?,"If the merger had happened before you came to Lincoln, would it have made a significant impact on your decision to apply/come to Lincoln? In what way?",Do you have any suggestions that should be considered moving forward?,Which school are you currently a student in?
11,5/19/21 12:50:40,5/19/21 12:57:44,anonymous,,More things to do,"people with autism and other mental difficulties could suffer from this, more people, noise etc means more anxiety",been at home all time due to covid thankfully,Unsure,"more at home sessions, i feel alot more comfortable at home then i am going into uni",School of Computer Science
12,5/19/21 13:53:25,5/19/21 13:56:28,anonymous,,Aren't you supposed to tell us that. Until now I have hardly heard any advantages and cant't think of anything that could benefit the CS students.,Support and resource reduction.,No. The infrastructure is already there for both schools so it is just causing unnecessary complications.,"Yes I would most likely not have chosen Lincoln, as I chose Lincoln due to its CS department and resources.",To not merge the schools.,School of Computer Science
13,5/19/21 14:23:56,5/19/21 14:41:56,anonymous,,A good crossover of models and more coding for Engineers,,"The ""computing for Engineers"" in year 1 could be more computer science heavy and more python teaching before 3rd year robotics module needed.","I would have liked more coding throughout the course, it would have made me more keen to apply here.",Allow select computer science masters modules to be accessible for engineering masters in 2021/2022,School of Engineering
14,5/19/21 16:07:07,5/19/21 16:11:20,anonymous,,More module options,"Employability of skills into specific sectors, computer science already is bent towards games content and assessments, this will likely do the same",Staff setting it up will have more to boast about at the pub?,Not really. I am indifferent to it,Dont twist what made SoCS successful thus far.,School of Computer Science
15,5/19/21 16:10:22,5/19/21 16:14:03,anonymous,,Are there some? Shouldnt it be you telling us what they are,"We get less resources, budget probably ending up less per head/student",Can't think of any,Yeah. The SoCS was a reason in coming. One big community and now that identity is being washed away almost and lost,"In the words or Boris, U-turn!",School of Computer Science
16,5/19/21 17:20:12,5/19/21 17:21:14,anonymous,,Robotics,,Robotic opportunities,"Maybe, i would still have come though",,School of Computer Science
17,5/19/21 18:44:42,5/19/21 18:49:58,anonymous,,Money going toward student experience rather than wages on executives,Poor leadership retaining their positions and gaining control over more students,No,Unlikely as material changes are unlikely to take place other than administrative ones,New executive team to run the merged department instead of merging the existing executive staff,School of Computer Science
18,5/19/21 19:03:47,5/19/21 19:04:26,anonymous,,None,All of them,No,No,Don’t have online teaching,School of Computer Science
19,5/20/21 5:45:03,5/20/21 5:46:38,anonymous,,More practical sessions/workshop and professors' guidance,na,"more opportunity,diversity",not sure,do it asap,School of Computer Science
20,5/20/21 8:00:59,5/20/21 8:06:20,anonymous,,Upgraded computer labs to accommodate the higher influx of students having access to them.,"Lower budget for SoCS students, loss of identity for SoCS students, SoCS labs being used even more and thus their equipment degrading faster, SoCS and SoE share a very minimal amount (if any) modules and so this merger makes no sense.",SoE gains access to SoCS computer labs and technicians. SoCS gain access to SoE labs and technicians but have no use for them. The biggest thing these two schools have in common is the building they use.,"Yes. I like the identity SoCS has, that it stands on it's own and works well. That it isn't held down by any other schools being attached to it.","Don't merge the two schools, SoCS students will lose out the most. This is such a simple thing to completely blind-side us all by.",School of Computer Science
21,5/21/21 13:26:02,5/21/21 13:30:32,anonymous,,Closer links between different softwares that can be used to simulate real world scenarios.,None as of now.,Virtual simulations becoming more focused as a module to demonstrate and reinforce work.,"I still would apply and likely come, but with this I would expect for the course to be applying the principles we learn to software more than the current amount.",Not at this moment.,School of Engineering
22,5/21/21 13:22:44,5/21/21 13:38:57,anonymous,,Increasing exposure to programming/computing in engineering,"Contraction of budgets, buildings, modules for both schools, reduction in scope of research outlook, loss of identity of both schools, diverging interests in overall development",Larger body of students may have more say,"Yes, because I wanted engineering, not computer science the merging of both schools implies diluted content, which is not what I want.",Merge with the maths/physics/more traditional science subject,School of Engineering
23,5/21/21 13:38:14,5/21/21 13:56:57,anonymous,,More access for engineering students to coding sessions etc to expand these skills that are not strictly engineering but will be helpful in the future to produce more well rounded engineers,"More conflicts over access to teaching facilities etc potentially. Additionally if the school becomes bigger it may be harder for students to get accountability for marks etc, if new processes are drawn up in the new school","The school becoming more cross disciplinary may lead to a new style of teaching and environment within the leadership team, new ideas in how assessments are run etc.","Not significant, but am not sure the reason behind the merger as this has not been explained to students as far as I am aware",,School of Engineering
24,5/21/21 14:08:37,5/21/21 14:19:51,anonymous,,Easier access to resources from both sides,"Less funding, confusion from outsiders",,No,"School of Engineering should keep its name. Computer sciences should be encompassed in it. Engineering is a very well established and coveted part of this university, whereas Computer Sciences is relatively new and engineering massively contributes to the subject. If the school was to change its name, the school might seem less prestigious to a prospective student.",School of Engineering
25,5/21/21 14:56:07,5/21/21 15:06:55,anonymous,,"Perhaps lecturers with more programming, computer architecture and computer networking experience.",I hope this isnt a method to cut costs by having the two schools share a smaller amount of resources.,I dont know really.,"It wouldnt really affect my decision. As long as there are good learning resources, then lincoln would be my top choice.",,School of Engineering
26,5/21/21 13:22:05,5/21/21 15:16:46,anonymous,,"better computers, in the engineering labs",Why would you even combine it in the first place?,quality of teaching for the coding modules.,dont know,Improved handling of student feedback and complaints,School of Engineering
27,5/21/21 15:20:02,5/21/21 15:30:10,anonymous,,Greater collaboration opportunities for students and researchers.,"Lack of attraction/retention of academics, researches and students. Budgeting Issues. Seems to be a step backwards in my opinion, the university should investing and increasing the STEM output from Lincoln, not reducing into one department. Creates a negative image both schools if combined.","Collaboration/focused research - However this is still done very well outside of a merger, currently","Yes, having a separate engineering depart gives the university a better representation. Would be nice to see STEM departments increasing","What is the reasoning behind this merger, the university hasn't be clear or explained the merger to students at all. This survey is the first most people have heard of it.",School of Engineering
28,5/21/21 16:11:54,5/21/21 16:30:10,anonymous,,"It would be great for students from both schools to have a larger range of module options. For example, as a School of Engineering student I would have really liked the opportunity to study a couple of more computer science related modules.","I am aware that the school of computer science has a lot of students. If any of the modules from each school will now also become available to students from the other school, which I think would be great, then class sizes could increase and students could suffer from less access to lecturer help.","Yes. I think many students could benefit from access to a wider range of modules, facilities and teaching staff.","Having personality been interested in both engineering and computer science, I think this would have encouraged me even more so to come to the university.","If you ensure that the merger provides more opportunities for students, and not less, then I see this as a very successful merger. Additionally, I think students from both schools carrying out projects together could lead to some great results.",School of Engineering
29,5/21/21 17:54:24,5/21/21 17:55:32,anonymous,,Access to more computer labs when necessary,,No,No,I don't think we were informed about this until now.,School of Engineering
30,5/21/21 18:12:40,5/21/21 18:40:21,anonymous,,"I hope (less expect) that a merger would enable or provide a wider range of learning resources, software and facilities available to me.","I don't know enough detail about the change to answer this, but if the merger results in a change of faculty hierarchy, preference of resource and opportunities may be given to other subjects, historically within the other school.","Greater access or drive for software, as well as bridging and greater exposure between the software and electronic hardware elements.",No. Truth be told I didn't even know their was a separate school for Computer science. I was only concerned with the area I wanted to study and the flexible provision it offered (part time/ degree apprentice student).,"A merger that facilitates a new management structure or collaboration and sharing of resources shouldn't have a negative effect upon student satisfaction. However if the provision of either subject is weakened or ""watered down"" in anyway then this will make the faculty less desirable. i.e. engineering courses being structured around IT/ computer science topics and vice versa.",School of Engineering
31,5/22/21 17:34:53,5/22/21 17:42:54,anonymous,,A formed structure towards staff members and leadership,Lack of understanding regarding either side of the schools. Whereby one school may become favourited over the other,A form of leadership within staff.,"Yes. It would mean for myself that Computer Science has too much of a focus put on themselves, and that Engineering courses may be on the side",,School of Engineering
32,5/23/21 1:29:56,5/23/21 1:40:29,anonymous,,Access to more academics and more collaboration,Lack of mental health support within the school could be exacerbated with increased amount of students,"Collaboration, access to more facilities and academics","Would make slightly positive impact on my decision, nothing too significant","Better mental health support from within the school, sometimes PT just isn’t enough and usually just direct to Student Well-being",School of Computer Science
33,5/23/21 11:05:07,5/23/21 11:13:45,anonymous,,We might get to experience more of the computer science side of Electrical Engineering which most of us want as most of us Electrical Engineering students in my cohort intend to go into the computing hardware industry,"Focus will certainly be lost for both subjects as they become more integrated, and the already lackluster management and control of staff will loosen further","The schools themselves will not improve, after all you're killing both to make a cheaper amalgamation to cut cost? the only benefit that may come is that the subjects may both become slightly better funded as a result, but chances are if you're choosing to cut costs here then you're going to do it everywhere, possibly leading the head of Engineering to jump ship and move to an obscure university in an LEC and certain Engineering lecturers to take this as an opportunity to stop working altogether and see how long before someone notices, aside from the students of course","It would lessen my desire to come here as it would feel as though it's no longer an engineering department, it's an engineering and computer science department, and I would likely choose to go to a uni that has a dedicated department for the subject I wish to take.","Try and separate them again as soon as possible, but use this as an opportunity to learn from the experience and progress towards electrical engineering more focussed on computing as the primary interest for electrical engineering in the current day is computing hardware. This can lead to a long term benefit from a short term problem and end up being a positive thing",School of Engineering
34,5/24/21 13:46:26,5/24/21 13:50:29,anonymous,,more opportunities for students to access facilities of either school.,Resources being spread to thin on either side in an attempt to give each school more opportunities without proper preparation,"Possibly, but none I can think of presently",Only if it gave me access to better materials for simulation. As a games computing student this would be useful for learning how to implement more realistic features in games,Make sure that in making the merger this does not disadvantage the students or reduce the quality of teaching,School of Computer Science
35,5/24/21 13:50:54,5/24/21 14:00:22,anonymous,,"None, for the SoCS. It seems to only benefit the SoE.","Reduction of budget, less available lab space, removal of school’s identity.","From what I gather, only SoE benefits from the merger.","I am not a student at the moment. I am taking a gap year. However, if I were applying, I’d prefer to go to a university with a dedicated SoSC.","From what I gather, there was no advance warning given to the students. It was only through an anonymous tip that the students found out. Such poor communication is disgusting, honestly. The decision is made by people that administrate the university, but no input is considered from the students. The Roman senate featured 10 elected members called the “Tribune of the Plebs”. These were standard citizens of Rome that could veto movements by the senate, if they thought it was disadvantageous to the citizenry. This would be a good way to allow for input in votes. The veto is a bit much, but if the student body could influence the vote in some way, I’m sure the students would appreciate it.",School of Computer Science
36,5/24/21 14:43:39,5/24/21 14:56:55,anonymous,,"Interdisciplinary projects. Also, programming modules would be a valuable addition to Electrical Engineering to provide the knowledge required to do the programming tasks, without wasting time within the module itself learning this - ie C, C++, python","The only issue I can see is that it might be even harder for a complaint to actually reach the person it needs to. Also, reductions in budget because of this merge would be bad.","Yes, but I believe that it will have very little effect on my course and I think most people will not notice a difference. It sounds good but could well end up being a bit of a gimmick.","No. Local university so was coming anyway. Also, advantages seem to outweigh disadvantages.",Don't just merge for the sake of it. There must be a benefit for the students - access to extra content would be great.,School of Engineering
37,5/24/21 18:56:03,5/24/21 19:07:00,anonymous,,"I would expect there to be tangible benefit to all courses within SoCS, not just the CS course",This merger appears to have no substantial benefits for Games Computing students and appears to be exclusively detrimental to the course,No,"Yes, the prospect of studying games computing, a minority course in SoCS, within a school split between engineering and computer science would have given me grave concerns about the amount of attention and support given to the course by the school. It is likely that Lincoln would not have even made my shortlist for uni applications under such circumstances.","That the merger should be reconsidered if it is not beneficial to all courses within SoCS, if it is just the CS course which benefits then this does not instil confidence in the future of the other courses SoCS offers. The benefits obtains for CS from a merger seem obtainable through other cooperative initiatives between schools rather than a merger.",School of Computer Science
38,5/25/21 19:00:42,5/25/21 19:08:42,anonymous,,Potential transfer of technical skills. E.g. possibility of learning Python or C++ for engineering students,There may be some discrepancies in the method of examinations or coursework which could be confusing.,"Choices of modules in engineering, i.e. programming languages, as well as choices of final year project.","No as prior to coming to university, I would not have known what the advantages/disadvantages of each option would be.",Please start an optional module on learning Python or C++ for engineering purposes. This may not be assessed and could simply provide tuition in developing programs which can help students in their future engineering jobs.,School of Engineering
39,5/26/21 15:50:36,5/26/21 15:54:41,anonymous,,With the combination of both the skill set of the the people from different schools could be used to help the other side. Opportunities could include working with people from different schools to see how they work and just to get a different outlook,To be honest I wouldn’t really be able to say I could see a problem as engineering is a field that requires the use of computers and computer science I think it can only be a good thing.,I do think it will be a positive thing as I have previously stated the two schools are already intertwined so the merge will only cement this and allow everyone to learn and grow together.,I’m already at Lincoln so it wouldn’t affect me.,"Maybe over the summer have activities involving the two different schools like team work exercises and little activities, things that will get people involved and get people communicating.",School of Engineering
40,06/04/2021 12:16,06/04/2021 12:21,anonymous,,a larger budget improved finances for the running of the school and budgets for projects both ways not just engineering sharing their budget and finance,I would not have bveen interested in the engineering department here is it had been called computer science and engineering as I would have felt that engineering was an after thought. also feel like the school of engineering is likely going to be sharing it's finances and resources including technicians and staff and not get much back from the computer science school,no,"i would not likely have looked at lincoln for engineering as I would feel it was more computer based and as a mechanical engineer it would have massively put me off as I have no real interest in computer systems or even control engineering, especially is the school name ended up being computer science and engineering rather than engineering and computer science","the name, what engineering will be back from it as we will share our already stretched technicians and finances/budgets for projects, the effect it will have on our relationship with siemens and other external companies we work with.",School of Engineering
41,06/05/2021 00:42,06/05/2021 01:05,anonymous,,To be able to try out/study 1-2 related modules to students degree from the other school.,I'm not sure,It may,Certainly,"It would nice to have each school to offer students from other schools a short course on specific topic that closely relates to their degree For example. SoCS offer students of SoE a short course on Computer Architecture, and SoE offer students of SoCS a short course on Electrical Engineering (fundamentals))",School of Computer Science
42,06/05/2021 23:31,06/05/2021 23:33,anonymous,,None,Sole mechanical engineering topics,No additional benefit,"Yes, it would have a negative impact on my outlook. I liked that Lincoln had a separate school for engineering!",Stay as a stand alone School of Engineering,School of Engineering
